test_num,num_features,neighbours,distance_metric,scaled,accuracy,train_t,test_t
3,4,35,manhattan,true,0.059,1.474,3.317
3,4,40,manhattan,true,0.059,1.310,3.140
3,4,45,manhattan,true,0.059,1.305,3.555
3,4,50,manhattan,true,0.059,1.320,4.096
3,1,5,euclidean,false,0.039,2.078,0.662
3,1,10,euclidean,false,0.040,2.138,0.863
3,1,15,euclidean,false,0.040,2.158,1.111
3,1,20,euclidean,false,0.041,2.165,1.363
3,1,25,euclidean,false,0.041,2.156,1.529
3,1,30,euclidean,false,0.041,2.128,1.940
3,1,35,euclidean,false,0.041,2.115,2.115
3,1,40,euclidean,false,0.042,2.122,2.400
3,1,45,euclidean,false,0.042,2.111,2.618
3,1,50,euclidean,false,0.042,2.129,2.849
3,1,5,manhattan,false,0.039,2.091,0.709
3,1,10,manhattan,false,0.040,2.128,0.929
3,1,15,manhattan,false,0.040,2.136,1.107
3,1,20,manhattan,false,0.041,2.056,1.355
3,1,25,manhattan,false,0.041,2.124,1.540
3,1,30,manhattan,false,0.041,2.079,1.816
3,1,35,manhattan,false,0.041,2.707,2.384
3,1,40,manhattan,false,0.042,2.084,2.273
3,1,45,manhattan,false,0.042,2.734,3.150
3,1,50,manhattan,false,0.042,2.112,3.361
3,1,5,euclidean,true,0.039,2.665,0.823
3,1,10,euclidean,true,0.040,2.125,0.877
3,1,15,euclidean,true,0.040,2.149,1.095
3,1,20,euclidean,true,0.041,2.801,1.588
3,1,25,euclidean,true,0.041,2.523,1.902
3,1,30,euclidean,true,0.041,2.522,2.308
3,1,35,euclidean,true,0.041,2.492,2.640
3,1,40,euclidean,true,0.042,2.159,2.236
3,1,45,euclidean,true,0.042,2.670,2.811
3,1,50,euclidean,true,0.042,2.186,3.369
3,1,5,manhattan,true,0.039,2.174,0.739
3,1,10,manhattan,true,0.040,2.151,0.902
3,1,15,manhattan,true,0.040,2.082,1.117
3,1,20,manhattan,true,0.041,2.550,1.584
3,1,25,manhattan,true,0.041,2.478,1.744
3,1,30,manhattan,true,0.041,2.125,1.806
3,1,35,manhattan,true,0.041,2.105,2.076
3,1,40,manhattan,true,0.042,2.112,2.273
3,1,45,manhattan,true,0.042,2.127,2.619
3,1,50,manhattan,true,0.042,2.110,2.881
4,10,5,euclidean,false,0.060,1.684,1.656
4,10,10,euclidean,false,0.062,1.738,2.074
4,10,15,euclidean,false,0.063,1.689,2.419
4,10,20,euclidean,false,0.063,1.688,2.777
4,10,25,euclidean,false,0.063,1.664,3.171
4,10,30,euclidean,false,0.062,1.699,3.749
4,10,35,euclidean,false,0.062,2.099,4.747
4,10,40,euclidean,false,0.062,1.805,5.249
4,10,45,euclidean,false,0.062,1.993,5.759
4,10,50,euclidean,false,0.062,2.137,6.158
4,10,5,manhattan,false,0.060,2.019,2.279
4,10,10,manhattan,false,0.062,2.010,2.903
4,10,15,manhattan,false,0.063,1.962,3.489
4,10,20,manhattan,false,0.063,2.018,3.889
4,10,25,manhattan,false,0.063,2.018,4.385
4,10,30,manhattan,false,0.062,1.980,4.457
4,10,35,manhattan,false,0.062,1.699,4.325
4,10,40,manhattan,false,0.063,1.937,5.263
4,10,45,manhattan,false,0.063,2.025,6.478
4,10,50,manhattan,false,0.063,1.707,6.156
4,10,5,euclidean,true,0.060,1.787,1.755
4,10,10,euclidean,true,0.062,1.667,2.091
4,10,15,euclidean,true,0.063,1.770,2.454
4,10,20,euclidean,true,0.063,1.720,2.818
4,10,25,euclidean,true,0.063,1.752,3.277
4,10,30,euclidean,true,0.062,1.715,3.859
4,10,35,euclidean,true,0.062,1.882,4.426
4,10,40,euclidean,true,0.062,1.750,5.187
4,10,45,euclidean,true,0.062,1.716,4.938
4,10,50,euclidean,true,0.062,1.975,6.245
4,10,5,manhattan,true,0.060,1.985,2.237
4,10,10,manhattan,true,0.062,1.987,2.888
4,10,15,manhattan,true,0.063,1.988,3.534
4,10,20,manhattan,true,0.063,2.049,3.863
4,10,25,manhattan,true,0.063,1.723,3.801
4,10,30,manhattan,true,0.062,1.949,4.752
4,10,35,manhattan,true,0.062,2.119,5.504
4,10,40,manhattan,true,0.063,2.038,6.236
4,10,45,manhattan,true,0.063,1.791,5.436
4,10,50,manhattan,true,0.063,1.660,6.066
4,7,5,euclidean,false,0.060,1.498,1.405
4,7,10,euclidean,false,0.062,1.456,1.733
4,7,15,euclidean,false,0.063,1.531,2.067
4,7,20,euclidean,false,0.063,1.441,2.419
4,7,25,euclidean,false,0.063,1.454,2.669
4,7,30,euclidean,false,0.062,1.483,3.107
4,7,35,euclidean,false,0.062,1.438,3.226
4,7,40,euclidean,false,0.062,1.420,3.658
4,7,45,euclidean,false,0.062,1.908,5.216
4,7,50,euclidean,false,0.062,1.510,5.013
4,7,5,manhattan,false,0.060,1.467,1.544
4,7,10,manhattan,false,0.062,1.429,1.916
4,7,15,manhattan,false,0.063,1.428,2.407
4,7,20,manhattan,false,0.063,1.422,2.647
4,7,25,manhattan,false,0.063,1.417,3.097
4,7,30,manhattan,false,0.063,1.393,3.316
4,7,35,manhattan,false,0.062,1.467,4.451
