28858,10,26
Unknown,POP3,HTTP,MySQL,POPS,BitTorrent,IMAPS,Steam,ICMP,RDP,SSL,SSH,Facebook,Twitter,Dropbox,Skype,Google,Apple,OpenVPN,Amazon,QUIC,Starcraft,Teredo,Office365,Cloudflare,MS_OneDrive,
source_ip,source_port,dest_ip,dest_port,IP4_proto,f_dur,delta_bytes,avg_ia,min_ia,max_ia,avg_len,min_len,max_len,pkt_vel,byte_vel,application,app_num
147.232.181.0,1194,178.40.7.191,11335,UDP,136784.000000,1392,13678.400000,5.000000,67550.000000,139,64,168,73.107966,10176.628845,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11080,UDP,135806.000000,1392,13580.600000,15.000000,66443.000000,139,64,168,73.634449,10249.915320,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11336,UDP,139404.000000,1392,13940.400000,23.000000,66653.000000,139,64,168,71.733953,9985.366274,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11081,UDP,135145.000000,1392,13514.500000,28.000000,67575.000000,139,64,168,73.994598,10300.048096,OpenVPN,18
147.232.181.0,1194,178.40.7.191,10827,UDP,14223828.000000,1560,1422382.800000,3.000000,3821615.000000,156,156,156,0.703046,109.675117,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11338,UDP,3861872.000000,1204,386187.200000,31.000000,1893093.000000,120,60,168,2.589418,311.765900,OpenVPN,18
147.232.181.0,1194,178.40.7.191,10828,UDP,136059.000000,1392,13605.900000,33.000000,66894.000000,139,64,168,73.497527,10230.855732,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11083,UDP,137705.000000,1392,13770.500000,6.000000,68664.000000,139,64,168,72.619004,10108.565412,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11339,UDP,138858.000000,1392,13885.800000,4.000000,67489.000000,139,64,168,72.016016,10024.629478,OpenVPN,18
147.232.181.0,1194,178.40.7.191,10829,UDP,137791.000000,1392,13779.100000,20.000000,67628.000000,139,64,168,72.573680,10102.256316,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11084,UDP,135971.000000,1392,13597.100000,13.000000,67528.000000,139,64,168,73.545094,10237.477109,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11340,UDP,140644.000000,1392,14064.400000,5.000000,67573.000000,139,64,168,71.101505,9897.329427,OpenVPN,18
31.13.70.1,443,147.232.194.61,64147,TCP,45017513.000000,1067,4501751.300000,215749.000000,6136102.000000,106,96,171,0.222136,23.701887,SSL,10
147.232.181.0,1194,178.40.7.191,10830,UDP,8615672.000000,832,861567.200000,101.000000,3434273.000000,83,60,168,1.160676,96.568207,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11085,UDP,134949.000000,1392,13494.900000,6.000000,67657.000000,139,64,168,74.102068,10315.007892,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11341,UDP,136474.000000,1392,13647.400000,18.000000,66728.000000,139,64,168,73.274030,10199.745006,OpenVPN,18
147.232.181.0,1194,178.40.7.191,10831,UDP,135844.000000,1392,13584.400000,21.000000,67133.000000,139,64,168,73.613851,10247.048085,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11086,UDP,6177798.000000,1016,617779.800000,5.000000,3785914.000000,101,60,168,1.618700,164.459893,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11342,UDP,136640.000000,1392,13664.000000,11.000000,67599.000000,139,64,168,73.185012,10187.353630,OpenVPN,18
147.232.181.0,1194,178.40.7.191,10833,UDP,2441229.000000,1312,244122.900000,8.000000,1302584.000000,131,64,168,4.096297,537.434219,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11087,UDP,139713.000000,1392,13971.300000,5.000000,67921.000000,139,64,168,71.575301,9963.281871,Apple,17
147.232.181.0,1194,178.40.7.191,11088,UDP,3957178.000000,1300,395717.800000,3.000000,2000953.000000,130,64,168,2.527053,328.516938,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11343,UDP,137367.000000,1392,13736.700000,25.000000,65967.000000,139,64,168,72.797688,10133.438162,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11344,UDP,135838.000000,1392,13583.800000,26.000000,66931.000000,139,64,168,73.617103,10247.500699,OpenVPN,18
147.232.181.0,1194,178.40.7.191,10835,UDP,192675.000000,1392,19267.500000,34.000000,67696.000000,139,64,168,51.900869,7224.601012,OpenVPN,18
